,z_id,houseType,price,num_beds,num_baths,sqft,lat,lon
1417,16847750,Apartment ,7000.0,2.0,2.0,1841.0,32.847897,-117.2762
1427,2106768994,House ,5000.0,2.0,2.0,1250.0,32.840717,-117.272964
1428,2078196767,Apartment ,2595.0,2.0,1.0,,32.843163,-117.27118
1441,16855016,House ,9000.0,3.0,2.0,1859.0,32.82262,-117.26446
1430,16841377,Apartment ,2400.0,1.0,1.0,691.0,32.863358,-117.23383
1388,2093417812,Apartment ,2275.0,1.0,1.0,,32.812973,-117.26914
1389,16858545,House ,6500.0,3.0,3.0,2428.0,32.814453,-117.25088
1390,2079081014,Apartment ,2425.0,1.0,1.0,620.0,32.86502,-117.232925
1391,16907634,Apartment ,3250.0,1.0,1.0,1047.0,32.810627,-117.26538
1397,32.86334--117.232574,other,,,,,32.86334,-117.232574
1403,54906527,Apartment ,3700.0,1.0,1.0,528.0,32.829838,-117.280136
1402,16855911,House ,5450.0,3.0,2.0,1264.0,32.812824,-117.26751
1401,2065732898,Apartment ,1595.0,0.0,1.0,,32.840008,-117.27082
1488,16848288,House ,12999.0,3.0,3.0,2389.0,32.843414,-117.27988
1486,125787098,Apartment ,5950.0,3.0,2.5,1818.0,32.851173,-117.25048
1481,16858312,Townhouse ,5695.0,3.0,2.5,2486.0,32.819942,-117.250694
1480,2078176013,Apartment ,2500.0,1.0,1.0,550.0,32.828686,-117.27645
1479,16841517,Townhouse ,2900.0,2.0,2.0,971.0,32.86123,-117.23381
1493,16835265,Townhouse ,3950.0,3.0,2.0,1137.0,32.861256,-117.23192
1494,2066664290,Apartment ,6800.0,3.0,2.0,,32.83495,-117.27707
1496,2066821644,Apartment ,5800.0,1.0,1.5,1800.0,32.840965,-117.28002
1503,16856087,House ,13500.0,4.0,3.0,3133.0,32.810963,-117.26847
1477,2066502970,Apartment ,2600.0,2.0,1.0,800.0,32.81078,-117.255264
1476,16848984,House ,6500.0,2.0,1.0,801.0,32.84219,-117.27141
1473,16854807,House ,8250.0,3.0,2.0,1355.0,32.82439,-117.26968
1446,2091143526,Apartment ,5500.0,1.0,1.0,748.0,32.841976,-117.27955
1447,32.86502--117.232925,other,,,,,32.86502,-117.232925
1449,2079440481,Apartment ,3695.0,2.0,2.0,800.0,32.810604,-117.2568
1450,16840485,Apartment ,2900.0,2.0,1.5,1074.0,32.860123,-117.23322
1453,32.847897--117.2762,other,,,,,32.847897,-117.2762
1456,16841160,Condo ,2450.0,1.0,1.0,700.0,32.85719,-117.23245
1470,16835778,Townhouse ,3950.0,2.0,2.5,1550.0,32.868866,-117.23482
1468,2078688097,Apartment ,3490.0,2.0,1.0,900.0,32.81094,-117.25532
1463,2085468505,Apartment ,3495.0,3.0,1.0,1000.0,32.810066,-117.256805
1461,2116694314,Apartment ,2295.0,1.0,1.0,500.0,32.809982,-117.25428
1547,16849240,House ,15000.0,4.0,3.0,2502.0,32.836777,-117.27537
1545,16856908,House ,5950.0,3.0,2.0,1740.0,32.82088,-117.24158
